0,People's Party,Karin Litzcke,Vancouver East
1,Marxist-Leninist,Christine Dandenault,Hochelaga
2,Bloc Qu�b�cois,Charles Lariv�e,Westmount--Ville-Marie
3,Independent,John Cannis,Scarborough Centre
4,Green Party,Dominique Breau,Acadie--Bathurst
5,Conservative,Garth Turner,Halton
6,People's Party,David Patterson,Barrie--Springwater--Oro-Medonte
7,Libertarian,Robert McFadzean,Lakeland
8,NDP-New Democratic Party,Ed Chudak,Newmarket--Aurora
9,People's Party,Isaac Hayes,Saskatoon West
10,Liberal,Steven Guilbeault,Laurier--Sainte-Marie
11,NDP-New Democratic Party,Mustafa Rizvi,Mississauga--Erindale
12,NDP-New Democratic Party,Randall Garrison,Esquimalt--Saanich--Sooke
13,Independent,Jason Tavares,Toronto Centre
14,Communist,Michael Lewis,London West
15,Green Party,Alina Abbott,Chatham-Kent--Essex
16,NDP-New Democratic Party,Rebecca Smith,Cloverdale--Langley City
17,ML,Elaine Baetz,Kitchener South--Hespeler
18,Liberal,Soraya Martinez Ferrada,Hochelaga
19,Liberal,Martha Dennis,Oxford
20,Green Party,Michael Bell,Haliburton--Kawartha Lakes--Brock
21,Conservative,Tim Ogilvie,Malpeque
22,People's Party,Michael Staffieri,Eglinton--Lawrence
23,NDP-New Democratic Party,Myl�ne Freeman,Argenteuil--Papineau--Mirabel
24,Conservative,Yonah Martin,New Westminster--Coquitlam
25,NDP-New Democratic Party,Pierre Cyr,Tobique--Mactaquac
26,People's Party,Guto Penteado,Saskatoon--University
27,Green Party,Lil MacPherson,Dartmouth--Cole Harbour
28,NDP-New Democratic Party,Bonnie Rai,Abbotsford
29,Green Party,Bryce Watts,Port Moody--Coquitlam
30,Green Party,Lynda Youde,Chicoutimi--Le Fjord
31,Green Party,Matthew Laine,Delta--Richmond East
32,NDP-New Democratic Party,Marie Henretta,Saint-Bruno--Saint-Hubert
33,NDP-New Democratic Party,Brian Fleck,Edmonton Riverbend
34,NDP-New Democratic Party,Dave Heatley,Niagara West--Glanbrook
35,Independent,Dwayne Cappelletti,Alfred-Pellan
36,Green Party,Pauline Thornham,Brampton North
37,Liberal,Lenore Zann,Cumberland--Colchester
38,Green Party,Mini Batra,Milton
39,Green Party,Tyler Colbourne,Labrador
40,NDP-New Democratic Party,Simon-Pierre Landry,Laurentides--Labelle
41,Green Party,Gwendolyn Veenema,Richmond Hill
